RSSI-1,RSSI-2,RSSI-3,RSSI-4,RSSI-5,RSSI-6,RSSI-7,RSSI-8,RSSI-9,X,Y
-50.365,-70.720,-77.025,-78.525,-81.404,-79.980,-79.437,-73.184,-75.129,1.600,0.000
-50.835,-70.743,-77.025,-78.515,-81.390,-79.964,-79.420,-73.149,-75.101,3.200,0.000
-51.061,-70.743,-77.025,-78.506,-81.384,-79.948,-79.403,-73.114,-75.087,4.800,0.000
-51.495,-70.743,-77.025,-78.487,-81.370,-79.932,-79.386,-73.079,-75.059,6.400,0.000
-51.909,-70.743,-77.025,-78.477,-81.363,-79.924,-79.369,-73.043,-75.045,8.000,0.000
-52.108,-70.743,-77.025,-78.468,-81.350,-79.908,-79.352,-73.008,-75.017,9.600,0.000
-52.494,-70.766,-77.025,-78.458,-81.336,-79.892,-79.334,-72.972,-74.989,11.200,0.000
-52.864,-70.766,-77.037,-78.449,-81.329,-79.876,-79.317,-72.936,-74.974,12.800,0.000
-53.043,-70.766,-77.037,-78.439,-81.315,-79.859,-79.300,-72.900,-74.946,14.400,0.000
-53.391,-70.766,-77.037,-78.430,-81.309,-79.843,-79.283,-72.864,-74.932,16.000,0.000
-53.725,-70.766,-77.037,-78.420,-81.295,-79.827,-79.265,-72.828,-74.903,17.600,0.000
-54.047,-70.789,-77.037,-78.411,-81.281,-79.811,-79.248,-72.791,-74.874,19.200,0.000
-54.203,-70.789,-77.037,-78.401,-81.274,-79.803,-79.231,-72.755,-74.860,20.800,0.000
-54.508,-70.789,-77.037,-78.391,-81.261,-79.786,-79.213,-72.718,-74.831,22.400,0.000
-54.802,-70.812,-77.037,-78.382,-81.254,-79.770,-79.196,-72.681,-74.817,24.000,0.000
-55.087,-70.812,-77.048,-78.372,-81.240,-79.754,-79.178,-72.644,-74.788,25.600,0.000
-55.363,-70.812,-77.048,-78.363,-81.233,-79.737,-79.161,-72.607,-74.773,27.200,0.000
-55.498,-70.812,-77.048,-78.353,-81.219,-79.721,-79.143,-72.570,-74.744,28.800,0.000
-55.761,-70.835,-77.048,-78.343,-81.205,-79.704,-79.126,-72.532,-74.730,30.400,0.000
-56.016,-70.835,-77.048,-78.334,-81.198,-79.688,-79.108,-72.494,-74.700,32.000,0.000
-56.265,-70.835,-77.048,-78.324,-81.184,-79.680,-79.090,-72.457,-74.671,33.600,0.000
-56.506,-70.858,-77.059,-78.315,-81.178,-79.663,-79.073,-72.419,-74.656,35.200,0.000
-56.741,-70.858,-77.059,-78.305,-81.164,-79.647,-79.055,-72.380,-74.627,36.800,0.000
-56.969,-70.881,-77.059,-78.295,-81.157,-79.630,-79.037,-72.342,-74.612,38.400,0.000
-57.192,-70.881,-77.059,-78.286,-81.143,-79.613,-79.019,-72.304,-74.582,40.000,0.000
-57.301,-70.881,-77.059,-78.276,-81.129,-79.597,-79.002,-72.265,-74.568,41.600,0.000
-57.516,-70.903,-77.070,-78.266,-81.122,-79.580,-78.984,-72.226,-74.538,43.200,0.000
-57.725,-70.903,-77.070,-78.256,-81.108,-79.572,-78.966,-72.187,-74.523,44.800,0.000
-57.929,-70.926,-77.070,-78.247,-81.101,-79.555,-78.948,-72.148,-74.493,46.400,0.000
-58.129,-70.926,-77.070,-78.237,-81.087,-79.538,-78.930,-72.108,-74.478,48.000,0.000
-58.324,-70.926,-77.070,-78.227,-81.080,-79.521,-78.912,-72.069,-74.448,49.600,0.000
-58.515,-70.949,-77.081,-78.217,-81.066,-79.505,-78.894,-72.029,-74.433,51.200,0.000
-58.702,-70.949,-77.081,-78.208,-81.059,-79.488,-78.876,-71.989,-74.402,52.800,0.000
-58.885,-70.971,-77.081,-78.198,-81.045,-79.471,-78.858,-71.949,-74.387,54.400,0.000
-59.064,-70.971,-77.081,-78.188,-81.030,-79.454,-78.839,-71.909,-74.357,56.000,0.000
-59.239,-70.994,-77.092,-78.178,-81.023,-79.445,-78.821,-71.868,-74.342,57.600,0.000
-59.411,-70.994,-77.092,-78.168,-81.009,-79.428,-78.803,-71.828,-74.311,59.200,0.000
-59.580,-71.016,-77.092,-78.159,-81.002,-79.411,-78.785,-71.787,-74.296,60.800,0.000
-59.663,-71.016,-77.092,-78.149,-80.988,-79.394,-78.766,-71.746,-74.265,62.400,0.000
-59.827,-71.038,-77.103,-78.139,-80.981,-79.377,-78.748,-71.704,-74.250,64.000,0.000
-59.988,-71.038,-77.103,-78.129,-80.967,-79.360,-78.730,-71.663,-74.219,65.600,0.000
-60.146,-71.061,-77.103,-78.119,-80.959,-79.343,-78.711,-71.621,-74.203,67.200,0.000
-60.301,-71.083,-77.103,-78.109,-80.945,-79.334,-78.693,-71.579,-74.172,68.800,0.000
-60.453,-71.083,-77.115,-78.099,-80.931,-79.317,-78.674,-71.537,-74.156,70.400,0.000
-60.603,-71.105,-77.115,-78.089,-80.924,-79.300,-78.656,-71.495,-74.125,72.000,0.000
-60.750,-71.105,-77.115,-78.080,-80.909,-79.283,-78.637,-71.453,-74.110,73.600,0.000
-60.895,-71.127,-77.126,-78.070,-80.902,-79.265,-78.618,-71.410,-74.078,75.200,0.000
-61.037,-71.149,-77.126,-78.060,-80.888,-79.248,-78.600,-71.367,-74.062,76.800,0.000
-61.178,-71.149,-77.126,-78.060,-80.881,-79.231,-78.581,-71.324,-74.031,78.400,0.000
-61.315,-71.171,-77.137,-78.050,-80.866,-79.222,-78.562,-71.281,-74.015,80.000,0.000
-61.451,-71.171,-77.137,-78.040,-80.859,-79.205,-78.543,-71.237,-73.983,81.600,0.000
-61.585,-71.193,-77.137,-78.030,-80.845,-79.187,-78.525,-71.193,-73.967,83.200,0.000
-61.716,-71.215,-77.137,-78.020,-80.837,-79.170,-78.506,-71.149,-73.935,84.800,0.000
-61.846,-71.215,-77.148,-78.010,-80.823,-79.152,-78.487,-71.105,-73.919,86.400,0.000
-61.974,-71.237,-77.148,-78.000,-80.816,-79.134,-78.468,-71.061,-73.903,88.000,0.000
-62.100,-71.259,-77.159,-77.990,-80.801,-79.126,-78.449,-71.016,-73.871,89.600,0.000
-62.224,-71.259,-77.159,-77.980,-80.794,-79.108,-78.430,-70.971,-73.855,91.200,0.000
-62.346,-71.281,-77.159,-77.970,-80.779,-79.090,-78.411,-70.926,-73.823,92.800,0.000
-62.467,-71.302,-77.170,-77.970,-80.772,-79.073,-78.391,-70.881,-73.806,94.400,0.000
-62.586,-71.324,-77.170,-77.960,-80.758,-79.055,-78.372,-70.835,-73.774,96.000,0.000
-62.703,-71.324,-77.170,-77.949,-80.743,-79.037,-78.353,-70.789,-73.758,97.600,0.000
-62.819,-71.345,-77.181,-77.939,-80.736,-79.019,-78.334,-70.743,-73.741,99.200,0.000
-62.933,-71.367,-77.181,-77.929,-80.721,-79.011,-78.315,-70.697,-73.708,100.800,0.000
