rssi1,rssi2,rssi3,x,y
-77.025,-81.404,-73.184,1.600,0.000
-77.025,-81.390,-73.149,3.200,0.000
-77.025,-81.384,-73.114,4.800,0.000
-77.025,-81.370,-73.079,6.400,0.000
-77.025,-81.363,-73.043,8.000,0.000
-77.025,-81.350,-73.008,9.600,0.000
-77.025,-81.336,-72.972,11.200,0.000
-77.037,-81.329,-72.936,12.800,0.000
-77.037,-81.315,-72.900,14.400,0.000
-77.037,-81.309,-72.864,16.000,0.000
-77.037,-81.295,-72.828,17.600,0.000
-77.037,-81.281,-72.791,19.200,0.000
-77.037,-81.274,-72.755,20.800,0.000
-77.037,-81.261,-72.718,22.400,0.000
-77.037,-81.254,-72.681,24.000,0.000
-77.048,-81.240,-72.644,25.600,0.000
-77.048,-81.233,-72.607,27.200,0.000
-77.048,-81.219,-72.570,28.800,0.000
-77.048,-81.205,-72.532,30.400,0.000
-77.048,-81.198,-72.494,32.000,0.000
-77.048,-81.184,-72.457,33.600,0.000
-77.059,-81.178,-72.419,35.200,0.000
-77.059,-81.164,-72.380,36.800,0.000
-77.059,-81.157,-72.342,38.400,0.000
-77.059,-81.143,-72.304,40.000,0.000
-77.059,-81.129,-72.265,41.600,0.000
-77.070,-81.122,-72.226,43.200,0.000
-77.070,-81.108,-72.187,44.800,0.000
-77.070,-81.101,-72.148,46.400,0.000
-77.070,-81.087,-72.108,48.000,0.000
-77.070,-81.080,-72.069,49.600,0.000
-77.081,-81.066,-72.029,51.200,0.000
-77.081,-81.059,-71.989,52.800,0.000
-77.081,-81.045,-71.949,54.400,0.000
-77.081,-81.030,-71.909,56.000,0.000
-77.092,-81.023,-71.868,57.600,0.000
-77.092,-81.009,-71.828,59.200,0.000
-77.092,-81.002,-71.787,60.800,0.000
-77.092,-80.988,-71.746,62.400,0.000
-77.103,-80.981,-71.704,64.000,0.000
-77.103,-80.967,-71.663,65.600,0.000
-77.103,-80.959,-71.621,67.200,0.000
-77.103,-80.945,-71.579,68.800,0.000
-77.115,-80.931,-71.537,70.400,0.000
-77.115,-80.924,-71.495,72.000,0.000
-77.115,-80.909,-71.453,73.600,0.000
-77.126,-80.902,-71.410,75.200,0.000
-77.126,-80.888,-71.367,76.800,0.000
-77.126,-80.881,-71.324,78.400,0.000
-77.137,-80.866,-71.281,80.000,0.000
-77.137,-80.859,-71.237,81.600,0.000
-77.137,-80.845,-71.193,83.200,0.000
-77.137,-80.837,-71.149,84.800,0.000
-77.148,-80.823,-71.105,86.400,0.000
-77.148,-80.816,-71.061,88.000,0.000
-77.159,-80.801,-71.016,89.600,0.000
-77.159,-80.794,-70.971,91.200,0.000
-77.159,-80.779,-70.926,92.800,0.000
-77.170,-80.772,-70.881,94.400,0.000
-77.170,-80.758,-70.835,96.000,0.000
-77.170,-80.743,-70.789,97.600,0.000
-77.181,-80.736,-70.743,99.200,0.000
-77.181,-80.721,-70.697,100.800,0.000
-77.181,-80.714,-70.650,102.400,0.000
-77.192,-80.699,-70.603,104.000,0.000
-77.192,-80.692,-70.556,105.600,0.000
-77.203,-80.677,-70.509,107.200,0.000
-77.203,-80.670,-70.461,108.800,0.000
-77.203,-80.655,-70.414,110.400,0.000
-77.214,-80.647,-70.365,112.000,0.000
-77.214,-80.633,-70.317,113.600,0.000
-77.225,-80.625,-70.268,115.200,0.000
-77.225,-80.610,-70.219,116.800,0.000
-77.236,-80.603,-70.170,118.400,0.000
-77.236,-80.588,-70.121,120.000,0.000
-77.236,-80.581,-70.071,121.600,0.000
-77.247,-80.566,-70.021,123.200,0.000
-77.247,-80.558,-69.971,124.800,0.000
-77.258,-80.543,-69.920,126.400,0.000
-77.258,-80.536,-69.869,128.000,0.000
-77.269,-80.521,-69.818,129.600,0.000
-77.269,-80.514,-69.766,131.200,0.000
-77.279,-80.498,-69.714,132.800,0.000
-77.279,-80.491,-69.662,134.400,0.000
-77.290,-80.476,-69.610,136.000,0.000
-77.290,-80.468,-69.557,137.600,0.000
-77.301,-80.461,-69.504,139.200,0.000
