rssi1,rssi2,rssi3,rssi4,rssi5,x,y
-50.365,-77.025,-103.454,-79.437,-87.479,1.600,0.000
-50.835,-77.025,-102.540,-79.420,-87.551,3.200,0.000
-51.061,-77.025,-102.634,-79.403,-87.437,4.800,0.000
-51.495,-77.025,-102.720,-79.386,-87.309,6.400,0.000
-51.909,-77.025,-103.313,-79.369,-88.195,8.000,0.000
-52.108,-77.025,-105.100,-79.352,-89.067,9.600,0.000
-52.494,-77.025,-107.536,-79.334,-89.839,11.200,0.000
-52.864,-77.037,-112.229,-79.317,-91.374,12.800,0.000
-53.043,-77.037,-114.015,-79.300,-94.096,14.400,0.000
-53.391,-77.037,-114.009,-79.283,-96.732,16.000,0.000
-53.725,-77.037,-111.295,-79.265,-97.703,17.600,0.000
-54.047,-77.037,-111.481,-79.248,-98.674,19.200,0.000
-54.203,-77.037,-110.574,-79.231,-98.660,20.800,0.000
-54.508,-77.037,-109.561,-79.213,-98.631,22.400,0.000
-54.802,-77.037,-108.654,-79.196,-96.117,24.000,0.000
-55.087,-77.048,-110.940,-79.178,-96.088,25.600,0.000
-55.363,-77.048,-108.333,-79.161,-94.973,27.200,0.000
-55.498,-77.048,-110.619,-79.143,-92.944,28.800,0.000
-55.761,-77.048,-110.405,-79.126,-92.930,30.400,0.000
-56.016,-77.048,-110.498,-79.108,-92.900,32.000,0.000
-56.265,-77.048,-110.784,-79.090,-92.871,33.600,0.000
-56.506,-77.059,-110.678,-79.073,-92.756,35.200,0.000
-56.741,-77.059,-110.464,-79.055,-92.727,36.800,0.000
-56.969,-77.059,-110.257,-79.037,-92.712,38.400,0.000
-57.192,-77.059,-109.543,-79.019,-93.182,40.000,0.000
-57.301,-77.059,-107.629,-79.002,-95.668,41.600,0.000
-57.516,-77.070,-110.222,-78.984,-95.538,43.200,0.000
-57.725,-77.070,-105.008,-78.966,-95.123,44.800,0.000
-57.929,-77.070,-102.501,-78.948,-95.093,46.400,0.000
-58.129,-77.070,-98.887,-78.930,-95.078,48.000,0.000
-58.324,-77.070,-99.280,-78.912,-95.448,49.600,0.000
-58.515,-77.081,-98.366,-78.894,-95.433,51.200,0.000
-58.702,-77.081,-98.259,-78.876,-94.902,52.800,0.000
-58.885,-77.081,-98.045,-78.858,-92.287,54.400,0.000
-59.064,-77.081,-96.430,-78.839,-92.157,56.000,0.000
-59.239,-77.092,-98.023,-78.821,-92.542,57.600,0.000
-59.411,-77.092,-96.909,-78.803,-92.411,59.200,0.000
-59.580,-77.092,-94.302,-78.785,-91.596,60.800,0.000
-59.663,-77.092,-93.788,-78.766,-90.065,62.400,0.000
-59.827,-77.103,-93.181,-78.748,-88.550,64.000,0.000
-59.988,-77.103,-93.867,-78.730,-86.919,65.600,0.000
-60.146,-77.103,-93.959,-78.711,-86.403,67.200,0.000
-60.301,-77.103,-93.445,-78.693,-82.772,68.800,0.000
-60.453,-77.115,-94.031,-78.674,-80.756,70.400,0.000
-60.603,-77.115,-94.424,-78.656,-80.425,72.000,0.000
-60.750,-77.115,-95.709,-78.637,-80.210,73.600,0.000
-60.895,-77.126,-96.002,-78.618,-81.578,75.200,0.000
-61.037,-77.126,-95.788,-78.600,-80.062,76.800,0.000
