RSSI-1,RSSI-2,RSSI-3,RSSI-4,RSSI-5,RSSI-6,RSSI-7,RSSI-8,RSSI-9,X,Y
-50.365,-70.720,-77.025,-86.025,-111.404,-101.980,-79.437,-73.184,-78.629,1.600,0.000
-50.835,-70.743,-77.025,-86.515,-111.390,-101.964,-79.420,-73.149,-78.601,3.200,0.000
-51.061,-70.743,-77.025,-84.006,-112.384,-101.948,-79.403,-73.114,-78.587,4.800,0.000
-51.495,-70.743,-77.025,-84.987,-109.870,-101.932,-79.386,-73.079,-78.559,6.400,0.000
-51.909,-70.743,-77.025,-85.977,-108.863,-101.924,-79.369,-73.043,-78.045,8.000,0.000
-52.108,-70.743,-77.025,-87.468,-108.550,-101.908,-79.352,-73.008,-77.017,9.600,0.000
-52.494,-70.766,-77.025,-93.458,-107.836,-104.392,-79.334,-72.972,-75.989,11.200,0.000
-52.864,-70.766,-77.037,-95.449,-104.429,-105.376,-79.317,-72.936,-75.774,12.800,0.000
-53.043,-70.766,-77.037,-97.439,-104.715,-105.859,-79.300,-72.900,-75.446,14.400,0.000
-53.391,-70.766,-77.037,-92.180,-104.809,-107.843,-79.283,-72.864,-75.432,16.000,0.000
-53.725,-70.766,-77.037,-91.170,-104.895,-109.827,-79.265,-72.828,-75.503,17.600,0.000
-54.047,-70.789,-77.037,-90.911,-102.481,-111.811,-79.248,-72.791,-75.574,19.200,0.000
-54.203,-70.789,-77.037,-95.151,-102.274,-113.303,-79.231,-72.755,-75.760,20.800,0.000
-54.508,-70.789,-77.037,-96.891,-102.861,-113.536,-79.213,-72.718,-75.831,22.400,0.000
-54.802,-70.812,-77.037,-96.882,-103.754,-112.520,-79.196,-72.681,-75.817,24.000,0.000
-55.087,-70.812,-77.048,-91.872,-101.440,-111.504,-79.178,-72.644,-75.788,25.600,0.000
-55.363,-70.812,-77.048,-91.863,-102.533,-110.487,-79.161,-72.607,-75.873,27.200,0.000
-55.498,-70.812,-77.048,-91.853,-102.019,-109.471,-79.143,-72.570,-76.044,28.800,0.000
-55.761,-70.835,-77.048,-94.843,-101.005,-108.454,-79.126,-72.532,-76.130,30.400,0.000
-56.016,-70.835,-77.048,-95.834,-103.498,-106.438,-79.108,-72.494,-76.200,32.000,0.000
-56.265,-70.835,-77.048,-97.824,-103.484,-103.430,-79.090,-72.457,-76.171,33.600,0.000
-56.506,-70.858,-77.059,-102.815,-101.978,-102.413,-79.073,-72.419,-76.256,35.200,0.000
-56.741,-70.858,-77.059,-102.805,-99.964,-102.397,-79.055,-72.380,-76.127,36.800,0.000
-56.969,-70.881,-77.059,-102.795,-100.857,-102.880,-79.037,-72.342,-76.212,38.400,0.000
-57.192,-70.881,-77.059,-102.786,-99.543,-103.363,-79.019,-72.304,-76.282,40.000,0.000
-57.301,-70.881,-77.059,-102.776,-100.929,-103.597,-79.002,-72.265,-76.168,41.600,0.000
-57.516,-70.903,-77.070,-100.766,-99.222,-103.080,-78.984,-72.226,-76.238,43.200,0.000
-57.725,-70.903,-77.070,-94.756,-97.508,-103.072,-78.966,-72.187,-76.323,44.800,0.000
-57.929,-70.926,-77.070,-88.247,-100.801,-103.055,-78.948,-72.148,-76.193,46.400,0.000
-58.129,-70.926,-77.070,-82.237,-99.687,-103.038,-78.930,-72.108,-76.178,48.000,0.000
-58.324,-70.926,-77.070,-82.227,-99.980,-103.021,-78.912,-72.069,-76.148,49.600,0.000
-58.515,-70.949,-77.081,-82.217,-101.266,-103.005,-78.894,-72.029,-76.133,51.200,0.000
-58.702,-70.949,-77.081,-82.208,-99.659,-102.488,-78.876,-71.989,-76.202,52.800,0.000
-58.885,-70.971,-77.081,-82.198,-99.945,-102.471,-78.858,-71.949,-76.187,54.400,0.000
-59.064,-70.971,-78.581,-82.688,-99.930,-103.454,-78.839,-71.909,-76.157,56.000,0.000
-59.239,-70.994,-83.092,-81.678,-101.023,-105.195,-78.821,-71.868,-76.042,57.600,0.000
-59.411,-70.994,-92.092,-79.668,-99.909,-108.178,-78.803,-71.828,-76.011,59.200,0.000
-59.580,-71.016,-98.092,-78.359,-97.002,-109.161,-78.785,-71.787,-75.996,60.800,0.000
-59.663,-71.016,-99.592,-78.849,-99.088,-109.394,-78.766,-71.746,-76.265,62.400,0.000
-59.827,-71.038,-96.603,-79.239,-98.731,-108.877,-78.748,-71.704,-76.350,64.000,0.000
-59.988,-71.038,-98.603,-79.429,-98.967,-107.110,-78.730,-71.663,-76.319,65.600,0.000
-60.146,-71.061,-113.853,-79.419,-99.459,-105.843,-78.711,-71.621,-76.703,67.200,0.000
-60.301,-71.083,-107.603,-79.709,-100.095,-104.834,-78.693,-71.579,-76.872,68.800,0.000
-60.453,-71.083,-102.615,-79.799,-99.081,-106.817,-78.674,-71.537,-77.156,70.400,0.000
-60.603,-71.105,-94.365,-79.689,-100.274,-108.300,-78.656,-71.495,-77.325,72.000,0.000
-60.750,-71.105,-84.615,-79.780,-101.059,-108.783,-78.637,-71.453,-77.410,73.600,0.000
-60.895,-71.127,-83.126,-79.970,-100.352,-110.265,-78.618,-71.410,-77.578,75.200,0.000
-61.037,-72.649,-83.126,-80.060,-102.638,-110.748,-78.600,-71.367,-77.662,76.800,0.000
-61.178,-74.649,-86.126,-80.260,-103.431,-111.731,-78.581,-71.324,-77.731,78.400,0.000
-61.315,-80.171,-86.137,-80.750,-101.516,-113.222,-78.562,-71.281,-77.715,80.000,0.000
-61.451,-83.671,-89.137,-81.140,-104.309,-112.705,-78.543,-71.237,-77.483,81.600,0.000
-61.585,-84.193,-89.137,-81.430,-104.145,-112.187,-78.525,-71.193,-77.667,83.200,0.000
-61.716,-80.215,-89.137,-82.020,-101.537,-108.670,-78.506,-71.149,-77.535,84.800,0.000
-61.846,-76.715,-91.148,-82.810,-103.473,-107.402,-78.487,-71.105,-77.519,86.400,0.000
-61.974,-76.737,-89.148,-83.800,-102.866,-106.634,-78.468,-71.061,-77.503,88.000,0.000
-62.100,-77.259,-89.159,-84.090,-100.901,-103.376,-78.449,-71.016,-77.571,89.600,0.000
-62.224,-78.759,-114.159,-85.230,-100.744,-101.358,-78.430,-70.971,-78.055,91.200,0.000
-62.346,-78.781,-120.909,-85.870,-99.479,-99.340,-78.411,-70.926,-79.023,92.800,0.000
-62.467,-77.802,-115.420,-87.070,-96.572,-96.323,-78.391,-70.881,-79.606,94.400,0.000
-62.586,-78.574,-105.170,-87.610,-95.058,-95.805,-78.372,-70.835,-80.474,96.000,0.000
-62.703,-77.324,-102.670,-88.349,-95.943,-93.787,-78.353,-70.789,-80.158,97.600,0.000
