rssi1,rssi2,rssi3,rssi4,rssi5,x,y
-50.365,-77.025,-111.404,-79.437,-78.629,1.600,0.000
-50.835,-77.025,-111.390,-79.420,-78.601,3.200,0.000
-51.061,-77.025,-112.384,-79.403,-78.587,4.800,0.000
-51.495,-77.025,-109.870,-79.386,-78.559,6.400,0.000
-51.909,-77.025,-108.863,-79.369,-78.045,8.000,0.000
-52.108,-77.025,-108.550,-79.352,-77.017,9.600,0.000
-52.494,-77.025,-107.836,-79.334,-75.989,11.200,0.000
-52.864,-77.037,-104.429,-79.317,-75.774,12.800,0.000
-53.043,-77.037,-104.715,-79.300,-75.446,14.400,0.000
-53.391,-77.037,-104.809,-79.283,-75.432,16.000,0.000
-53.725,-77.037,-104.895,-79.265,-75.503,17.600,0.000
-54.047,-77.037,-102.481,-79.248,-75.574,19.200,0.000
-54.203,-77.037,-102.274,-79.231,-75.760,20.800,0.000
-54.508,-77.037,-102.861,-79.213,-75.831,22.400,0.000
-54.802,-77.037,-103.754,-79.196,-75.817,24.000,0.000
-55.087,-77.048,-101.440,-79.178,-75.788,25.600,0.000
-55.363,-77.048,-102.533,-79.161,-75.873,27.200,0.000
-55.498,-77.048,-102.019,-79.143,-76.044,28.800,0.000
-55.761,-77.048,-101.005,-79.126,-76.130,30.400,0.000
-56.016,-77.048,-103.498,-79.108,-76.200,32.000,0.000
-56.265,-77.048,-103.484,-79.090,-76.171,33.600,0.000
-56.506,-77.059,-101.978,-79.073,-76.256,35.200,0.000
-56.741,-77.059,-99.964,-79.055,-76.127,36.800,0.000
-56.969,-77.059,-100.857,-79.037,-76.212,38.400,0.000
-57.192,-77.059,-99.543,-79.019,-76.282,40.000,0.000
-57.301,-77.059,-100.929,-79.002,-76.168,41.600,0.000
-57.516,-77.070,-99.222,-78.984,-76.238,43.200,0.000
-57.725,-77.070,-97.508,-78.966,-76.323,44.800,0.000
-57.929,-77.070,-100.801,-78.948,-76.193,46.400,0.000
-58.129,-77.070,-99.687,-78.930,-76.178,48.000,0.000
-58.324,-77.070,-99.980,-78.912,-76.148,49.600,0.000
-58.515,-77.081,-101.266,-78.894,-76.133,51.200,0.000
-58.702,-77.081,-99.659,-78.876,-76.202,52.800,0.000
-58.885,-77.081,-99.945,-78.858,-76.187,54.400,0.000
-59.064,-78.581,-99.930,-78.839,-76.157,56.000,0.000
-59.239,-83.092,-101.023,-78.821,-76.042,57.600,0.000
-59.411,-92.092,-99.909,-78.803,-76.011,59.200,0.000
-59.580,-98.092,-97.002,-78.785,-75.996,60.800,0.000
-59.663,-99.592,-99.088,-78.766,-76.265,62.400,0.000
-59.827,-96.603,-98.731,-78.748,-76.350,64.000,0.000
-59.988,-98.603,-98.967,-78.730,-76.319,65.600,0.000
-60.146,-113.853,-99.459,-78.711,-76.703,67.200,0.000
-60.301,-107.603,-100.095,-78.693,-76.872,68.800,0.000
-60.453,-102.615,-99.081,-78.674,-77.156,70.400,0.000
